"Seq","Date","Time","LatGPS","LonGPS","Alt","Roll","Pitch","Yaw","Pixel x","Pixel y","Letter","Conf.","Lat","Lon"
19.0,"2019-06-14","13-53-07",51.1297239,-2.2431018,0.019,0.008098804391920567,0.1782664805650711,-2.727043628692627,667.7155151367188,1034.163818359375,"7",0.35791194,51.1297239667958,-2.243101678455767
20.0,"2019-06-14","13-53-07",51.1297237,-2.2431017,0.02,-0.0016416171565651894,0.20561158657073975,-2.7292959690093994,692.1950073242188,1023.5665283203125,"1",0.30440673,51.12972377518552,-2.2431015720151204
21.0,"2019-06-14","13-53-07",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,708.5862426757812,1053.5345458984375,"7",0.45910692,51.12972349279388,-2.2431011422356546
22.0,"2019-06-14","13-53-08",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,722.6270751953125,1105.282470703125,"7",0.34145254,51.129723501095384,-2.243101140108854
23.0,"2019-06-14","13-53-08",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,714.6011352539062,1156.18408203125,"7",0.44412038,51.129723507945265,-2.2431011332464212
24.0,"2019-06-14","13-53-08",51.1297233,-2.2431009,0.035,-0.04683949798345566,0.09974723309278488,-2.743680000305176,677.6918334960938,1181.528564453125,"1",0.39725244,51.12972342041674,-2.2431006694699382
25.0,"2019-06-14","13-53-39",51.1297025,-2.2430741,0.161,0.04239984601736069,-0.009466823190450668,3.078986167907715,391.8703308105469,1177.8216552734375,"1",0.4296865,51.129703099548585,-2.243073320519777
26.0,"2019-06-14","13-53-40",51.129702,-2.2430721,0.213,0.049784932285547256,0.012480344623327255,2.8479976654052734,354.1379089355469,958.8447875976562,"7",0.41460013,51.12970268570406,-2.2430712216446964
27.0,"2019-06-14","13-53-40",51.1297019,-2.2430714,0.221,0.05812300741672516,-0.00621742382645607,2.8376388549804688,352.08148193359375,970.828125,"1",0.45286447,51.12970259346444,-2.243070512243105
28.0,"2019-06-14","13-53-40",51.129702,-2.2430708,0.215,0.06701823323965073,-0.012954961508512497,2.8248870372772217,357.51544189453125,965.1597900390625,"1",0.3996974,51.129702654475565,-2.2430699766808546
29.0,"2019-06-14","13-53-40",51.129702,-2.2430708,0.215,0.06701823323965073,-0.012954961508512497,2.8248870372772217,351.8975524902344,952.278076171875,"1",0.45180693,51.129702640164595,-2.243069956851393
30.0,"2019-06-14","13-53-40",51.1297021,-2.2430702,0.208,0.0684412494301796,-0.0010593868792057037,2.8135571479797363,341.9609680175781,937.2488403320312,"1",0.3861874,51.12970273063032,-2.243069380522782
31.0,"2019-06-14","13-53-41",51.1297027,-2.2430687,0.008,0.07993403822183609,0.011591650545597076,2.7899439334869385,355.0814514160156,844.828125,"1",0.43673256,51.1297027232349,-2.243068652965026
32.0,"2019-06-14","13-53-41",51.1297031,-2.2430681,0.012,0.08219491690397263,0.018145769834518433,2.77231502532959,376.6792297363281,789.8773803710938,"7",0.49333516,51.12970313015149,-2.243068039854079
33.0,"2019-06-14","13-53-41",51.1297032,-2.2430674,0.009,0.07207854092121124,0.0216510072350502,2.7607622146606445,384.1470642089844,764.0882568359375,"A",0.28816658,51.12970322255633,-2.243067349683722
